City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Cabo San Lucas,MX,75.99,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
5,Tikaitnagar,IN,94.01,few clouds,26.95,81.5833,Suraj Verma S/O Om Prakash Verma
10,Avarua,CK,80.6,few clouds,-21.2078,-159.775,Paradise Inn
12,Kieta,PG,78.49,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
15,Belmonte,BR,82.4,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
16,Kanniyakumari,IN,83.82,scattered clouds,8.0833,77.5667,Sparsa
20,Rikitea,PF,76.03,few clouds,-23.1203,-134.9692,Pension Maro'i
21,Lahij,YE,82.56,broken clouds,13.1667,44.5833,
26,Butaritari,KI,82.44,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
30,Mayo,US,84.99,clear sky,38.8876,-76.5119,Resorts Resource Group International
35,Touros,BR,78.8,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
37,Yambio,SS,75.83,broken clouds,4.5721,28.3955,Naivasha Hotel
39,San Cristobal,VE,78.8,fog,7.7669,-72.225,Posada Villaven C.A.
40,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
46,Vila Velha,BR,82.0,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
48,Howard Springs,AU,77.0,broken clouds,-12.497,131.047,buffalo beach hostel
50,Buraydah,SA,89.6,scattered clouds,26.326,43.975,فندق راحة السلام
52,Banda Aceh,ID,80.15,broken clouds,5.5577,95.3222,Sulthan Hotel International
55,Harlingen,US,89.01,scattered clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
56,Singaraja,ID,77.99,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
57,Grand-Santi,GF,84.43,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
61,Maragogi,BR,82.81,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
68,Pedernales,DO,82.27,clear sky,18.0384,-71.744,Hotel Costa Marina
73,Bandarbeyla,SO,84.15,few clouds,9.4942,50.8122,JABIR HOTEL
75,Atuona,PF,79.5,overcast clouds,-9.8,-139.0333,Villa Enata
83,Georgetown,MY,78.8,scattered clouds,5.4112,100.3354,Cititel Penang
84,Kendari,ID,76.23,broken clouds,-3.945,122.4989,Hotel Wixel
86,Westport,US,75.99,clear sky,41.1415,-73.3579,The Westport Inn
88,Saint-Philippe,RE,77.0,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
92,Dakar,SN,75.2,clear sky,14.6937,-17.4441,Redface Studios Meublés
94,Black River,JM,86.0,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
97,Namatanai,PG,79.27,light rain,-3.6667,152.4333,Namatanai Hotel
98,Maningrida,AU,75.04,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
103,Roswell,US,80.01,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
104,Los Banos,PH,81.0,broken clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
105,Boende,CD,75.15,light rain,-0.2167,20.8667,
109,Mahajanga,MG,80.6,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
110,Meulaboh,ID,78.55,moderate rain,4.1363,96.1285,Kost Pria
112,Hamilton,US,78.01,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
115,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
117,Taiobeiras,BR,86.27,scattered clouds,-15.8078,-42.2331,Dallas Hotel
120,Kudahuvadhoo,MV,83.53,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
132,Tshela,CD,78.71,light rain,-4.9833,12.9333,Hotel Mirador
135,Boa Vista,BR,87.8,light rain,2.8197,-60.6733,Aipana Plaza Hotel
136,Hithadhoo,MV,83.64,broken clouds,-0.6,73.0833,Scoop Guest House
140,San Patricio,US,81.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
141,Karratha,AU,79.86,clear sky,-20.7377,116.8463,ibis Styles Karratha
144,Bethel,US,75.99,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
145,Ilorin,NG,80.56,light rain,8.5,4.55,Ayala Suite Annex
149,Sulangan,PH,81.3,scattered clouds,11.1373,123.7228,Maia's Beach Resort
152,Arraial Do Cabo,BR,78.8,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
153,Carutapera,BR,85.23,overcast clouds,-1.195,-46.02,Lidera
154,Alofi,NU,78.8,light rain,-19.0595,-169.9187,Taloa Heights
160,Bonthe,SL,85.86,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
161,Zhob,PK,76.3,overcast clouds,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
162,Sao Joao Da Barra,BR,80.6,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
163,Dawei,MM,77.04,overcast clouds,14.0833,98.2,Hotel Dawei
165,Namibe,AO,77.92,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
169,Avera,US,78.01,clear sky,33.194,-82.5271,
171,Acarau,BR,85.71,scattered clouds,-2.8856,-40.12,castelo pizzaria
173,Faanui,PF,81.7,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
174,Victoria,HK,75.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
182,Bengkulu,ID,75.54,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
183,Kirakira,SB,76.17,moderate rain,-10.4544,161.9205,SanBiz Lodge
186,Samarai,PG,77.92,overcast clouds,-10.6167,150.6667,Nuli Sapi
187,Dondo,MZ,78.8,few clouds,-19.6094,34.7431,Arco Iris
190,Dickinson,US,82.99,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
196,Lisala,CD,75.6,overcast clouds,2.15,21.5167,
198,Isla Mujeres,MX,87.8,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
201,Praia,CV,80.6,few clouds,14.9215,-23.5087,LT Aparthotel
203,Havelock,US,78.8,clear sky,34.8791,-76.9013,Sherwood Motel
204,Broome,US,77.0,clear sky,42.2506,-75.833,Chenango Valley State Park
207,Sakakah,SA,86.0,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
209,Anloga,GH,84.2,few clouds,5.7947,0.8973,Pin Drop Hotel
220,Saint-Joseph,RE,77.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
221,Thinadhoo,MV,83.57,broken clouds,0.5333,72.9333,
222,Lorengau,PG,80.82,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
223,Muscat,OM,93.2,broken clouds,23.6139,58.5922,Mutrah Hotel
227,Kavaratti,IN,84.92,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
228,Srivardhan,IN,82.29,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
232,Pilar,BR,84.2,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
233,Sabha,LY,97.5,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
235,Mitu,CO,77.02,overcast clouds,1.1983,-70.1733,
239,Benghazi,LY,82.65,broken clouds,32.1167,20.0667,Tibesti Hotel
242,Lehigh Acres,US,88.0,clear sky,26.6254,-81.6248,Lehigh Resort Club
244,Puerto Gaitan,CO,75.43,overcast clouds,4.3133,-72.0816,Brisas del Yucao
249,Suez,EG,76.42,clear sky,29.9737,32.5263,Green House
250,Bulungu,CD,77.56,overcast clouds,-4.55,18.6,
254,Kaohsiung,TW,77.0,broken clouds,22.6163,120.3133,Kindness Hotel
256,Safaga,EG,79.36,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
258,Auki,SB,75.76,broken clouds,-8.7676,160.7034,Auki Motel
260,La Libertad,EC,78.8,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
261,America Dourada,BR,87.46,few clouds,-11.4553,-41.4361,Pousada do Ninho
263,Kerema,PG,75.61,overcast clouds,-7.9631,145.7785,Frena Lodge
267,Mercedes,AR,75.0,clear sky,-34.6515,-59.4307,Posada del Inti Centro
277,Amahai,ID,82.99,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
286,Manggar,ID,79.97,overcast clouds,-2.8833,108.2667,Guest Hotel
